,Name,Academic (1),Affiliations
0,rolf aaberge,0,statistisk sentralbyrå government of norway
1,lucian liviu albu,0,institutul de economic forecast institutul national de cercetari economice (ince) academia romana
2,céline antonin,0,research center in economics (ofce)
3,david aadland,1,department of economics and finance college of business university of wyoming
4,nicolae albu,1,faculty of economics transilvania university
5,davide antonioli,1,"(90%) department of business economics university of chieti and pescara (""announcement"")"
6,arild aakvik,1,(80%) department of economics university in the mountains
7,claudiu tiberiu albulescu,1,(75%) faculty of management in production and transport polytechnic university of timisoara
8,alberto antonioni,1,faculty of business and economics (hec) university of lausanne
9,rob aalbers,0,centraal planbureau (cpb) government of the netherlands
10,andré massena albuquerque,1,institute of economics and management (iseg) university of lisbon
11,fabio antoniou,1,(99%) department of economics university of ioannina
12,philip aanderud,0, 
13,breno emerenciano albuquerque,1,department of economics federal university of pernambuco
14,christos antonopoulos,0,bank of greece
15,henry j. aaron,0,(79%) economic studies brookings institution
16,bruno albuquerque,0,vakgroep financiële economie faculteit economie en bedrijfskunde universiteit gent
17,rania antonopoulos,1,levy economics institute bard college
18,daniel aaronson,0,federal reserve bank of chicago
19,eduardo da motta e albuquerque,1,center for regional development and planning (cedeplar) federal university of minas gerais
20,albena antonova,1,faculty of economics and business administration sofia university st. kliment ohridski
21,susan ariel aaronson,1,(88%) institute for international economic policy (iiep) elliott school of international affairs george washington university
22,paula c. albuquerque,1,(60%) department of economics higher institute of economics and management (iseg) university of lisboa
23,kate l. antonovics,1,department of economics university of california-san diego (ucsd)
24,paul aarts,1,amsterdam institute for labor studies (aias) university of amsterdam
25,paulo albuquerque,1,william e. simon graduate school of business administration university of rochester
26,"marcos antón renart, sr.",1,faculty of economics and business university of murcia
27,eline aas,0,"helseøkonomisk forskningsprogram (hero) (health economics research programme) 
universitetet i oslo (university of oslo)"
28,pedro h. albuquerque,1,(50%) kedge business school
29,arturo antón-sarabia,0,center for economic research and teaching (cide)
30,knut kristian aase,1,institute of business economics norway's business school (nhh)
31,rui albuquerque,1,"department of finance 
questrom school of business 
boston university"
32,jürgen antony,1,faculty of economics and law college pforzheim
33,arnstein aassve,1,"""carlo f. dondena"" center for research on social dynamics (dondena) commercial university luigi bocconi (bocconi university)"
34,andré albuquerque sant'anna,0,(90%) national bank of economic and social development government of brazil
35,joseph r. antos,0, 
36,knut are aastveit,0,bank of norway
37,philippe alby,1,workshop on quantitative research applied to economic development (arqade) toulouse school of economics (tse)
38,marek antosiewicz,0,(50%) zakład wspomagania i analizy decyzji szkoła glow systems w warszawie
39,cristina abad,1,faculty of economic and business sciences university of seville
40,luís alçada-almeida,1,(50%) center for business and economics research (ceber) college of economics university of coimbra
41,pol antras,1,department of economics harvard university
42,nicolas abad,1,aix-marseille school of economics (amse)
43,francisco alcalá,1,(70%) department of fundamentals of economic analysis faculty of economics and business university of murcia
44,ari-veikko anttiroiko,1,university of applied sciences
45,pilar abad,1,department of fundamentals of the economic analysis university king juan carlos
46,luis alcalá,1,(50%) national university of san luis
47,antónio antunes,0,(90%) bank of portugal
48,ibrahim abada,1,economix university paris west-nanterre defense (paris x)
49,jose alcalde,1,(98%) university institute of social development and peace (iudesp) university of alicante
50,daví josé nardy antunes,0,faculties of campinas (facamp)
51,luz karime abadia alvarado,1,faculty of economic and administrative sciences pontificia university javeriana
52,federico agustín alcalde bessia,1,faculty of economics university of buenos aires
53,margarida antunes,1,center for business and economics research (ceber) college of economics university of coimbra
54,alberto abadie,1,economics department massachusetts institute of technology (mit)
55,jorge alcalde-unzu,1,department of economics public university of navarra
56,micaela antunes,1,(34%) center for business and economics research (ceber) college of economics university of coimbra
57,zelalem godaye abahana,1,food and resource economics department university of florida
58,vicent alcantara,1,applied economics department of the autonomous university of barcelona
59,werner antweiler,1,strategy and business economics division sauder school of business university of british columbia
60,yulia abakumova,1,department of economics european university at st. petersburg
61,josé carlos rodríguez alcantud,1,(50%) faculty of economics and business university of salamanca
62,benjamin addai antwi-boasiako,1,technical university dresden - faculty of environmental sciences
63,anna abalkina,1,(50%) financial university under the government of the russian federation
64,jorge luis garcia alcaraz,0,celaya institute of technology (celaya institute of technology)
65,angelos adonis antzoulatos,1,department of banking and financial management university of piraeus
66,melisa abalos choque,1,faculty of economics and administration catholic university of the north
67,carlo alcaraz,0,bank of mexico
68,mikhail anufriev,1,(90%) economics discipline group business school university of technology sydney
69,irina abankina,1,national research university higher school of economics
70,francisco josé alcaraz-quiles,1,faculty of economic and business sciences university of granada
71,s anukriti,1,(50%) department of economics boston college
72,tatiana abankina,1,national research university higher school of economics
73,andrea sergia alcaraz rivero,0, 
74,andre k. anundsen,0,bank of norway
75,kseniya abanokova,1,centre for labour market studies national research university higher school of economics
76,lorena alcázar,0,analysis group for development (grade)
77,ahmed w. anwar,1,school of economics university of edinburgh
78,paolo abarcar,1,(50%) economics department university of michigan
79,armen a. alchian,0, 
80,amar iqbal anwar,1,shannon school of business cape breton university
81,tezcan abasiz,0, 
82,cinzia alcidi,0,centers for european policy studies (ceps)
83,muhammad anwar,0,institute of social studies (iss)
84,ignacio abasolo,1,department of applied economics and quantitative methods university of the lagoon
85,jamie alcock,1,discipline of finance business school university of sydney
86,mumtaz anwar,1,(50%) department of economics university of the punjab
87,muzaffar abasov,1,(50%) department of economics department of economics and administrative sciences middle eastern technical university
88,alain alcouffe,0,université toulouse i capitole (university of toulouse)
89,saba anwar,0,pakistan institute of development economics
90,anna lou abao abatayo,1,(50%) department of food and resources economics copenhagen university
91,simon alcouffe,0,group esc toulouse
92,sajid anwar,1,school of commerce business school university of south australia
93,girum dagnachew abate,0,center for research in econometric analysis of time series (creates) institut for økonomi aarhus universitet
94,erik alda,1,school of public affairs american university
95,sofia anwar,1,government college university
96,megersa abera abate,0,transport economics road and transport research institute (vt)
97,rafaelita mercado aldaba,0,philippine institute for development studies (pids) government of the philippines
98,dominique anxo,1,center for labor market forecasting (cafo) economics school linnaeus university
99,gianpaolo abatecola,1,"department of management and faculty of economics university of roma studies ""ver vergata"""
100,pierre aldama,1,(50%) paris school of economics
101,john c. anyanwu,0,african development bank
102,antonio abatemarco,1,(50%) department of economics and statistics (dises) university of salerno studies
103,covadonga aldamiz-echevarría,1,(50%) institute of economics applied to the company university of the basque country - euskal herriko unibertsitatea
104,diego anzoategui,1,department of economics new york university (nyu)
105,kibrom a. abay,0,centre for applied microeconometrics (cam) økonomisk institut københavns universitet
106,ana teresa aldana,1,faculty of economics university externado of colombia
107,juan camilo anzoategui zapata,0,faculty of economics
108,kaludura abayasiri-silva,1,centre of policy studies and impact project (cops) victoria university
109,joaquín aldás,0,(50%) valencian institute of economic research (ivie)
110,marcela anzola,0, 
111,ali abbas,1,department of engineering-economic systems and operations research stanford university
112,alisher aldashev,1,international school of economics kazakh british technical university
113,alessio anzuini,0,bank of italy
114,faisal abbas,0,comsats institute of information technology (ciit)
115,gani aldashev,0,(95%) european center for advanced research in economics and statistics (ecares) solvay brussels
